COD CURSO;CURSO;DURACION;CLIENTE;IMPORTE CLIENTE;PROFESOR;IMPORTE PROFESOR;FECHA CURSO;JORNADA CURSO;COMERCIAL;IMPORTE COMERCIAL;PAGADO CLIENTE;PAIS;CIUDAD;PAGADO COMERCIAL
COD-001;WORD;15;CLIENTE-001; 375,00 € ;PROFESOR-003; 180,00 € ;03/09/2021;MAÑANA;COMERCIAL-003; 26,25 € ;SI;ESPAÑA;MADRID;SI
COD-002;EXCEL;20;CLIENTE-002; 600,00 € ;PROFESOR-002; 240,00 € ;30/09/2021;TARDE;COMERCIAL-002; 48,00 € ;SI;ITALIA;ROMA;SI
COD-003;ACCESS;18;CLIENTE-004; 720,00 € ;PROFESOR-001; 216,00 € ;04/08/2019;MAÑANA;COMERCIAL-004; 72,00 € ;SI;ESPAÑA;MADRID;SI
COD-004;WORD;25;CLIENTE-003; 625,00 € ;PROFESOR-004; 300,00 € ;07/03/2019;MAÑANA;COMERCIAL-001; 43,75 € ;SI;ITALIA;ROMA;NO
COD-005;WORD;20;CLIENTE-005; 500,00 € ;PROFESOR-005; 240,00 € ;04/03/2021;MAÑANA;COMERCIAL-003; 35,00 € ;NO;FRANCIA;PARIS;NO
COD-006;WORD;10;CLIENTE-003; 250,00 € ;PROFESOR-002; 120,00 € ;21/01/2019;MAÑANA;COMERCIAL-002; 17,50 € ;NO;ITALIA;ROMA;SI
COD-007;EXCEL;12;CLIENTE-004; 360,00 € ;PROFESOR-001; 144,00 € ;18/07/2020;TARDE;COMERCIAL-004; 28,80 € ;NO;ESPAÑA;MADRID;SI
COD-008;EXCEL;15;CLIENTE-003; 450,00 € ;PROFESOR-004; 180,00 € ;16/04/2019;TARDE;COMERCIAL-001; 36,00 € ;NO;ITALIA;ROMA;SI
COD-009;EXCEL;20;CLIENTE-006; 600,00 € ;PROFESOR-003; 240,00 € ;06/08/2021;TARDE;COMERCIAL-002; 48,00 € ;NO;FRANCIA;PARIS;SI
COD-010;INTERNET;25;CLIENTE-004; 625,00 € ;PROFESOR-002; 300,00 € ;07/10/2021;TARDE;COMERCIAL-004; 31,25 € ;SI;ESPAÑA;MADRID;SI
COD-011;WINDOWS;30;CLIENTE-007; 750,00 € ;PROFESOR-001; 360,00 € ;07/02/2020;NOCHE;COMERCIAL-001; 37,50 € ;SI;ESPAÑA;MADRID;SI
COD-012;WINDOWS;40;CLIENTE-005; 1.000,00 € ;PROFESOR-004; 480,00 € ;11/03/2021;NOCHE;COMERCIAL-003; 50,00 € ;SI;FRANCIA;PARIS;SI
COD-013;WINDOWS;35;CLIENTE-006; 875,00 € ;PROFESOR-005; 420,00 € ;19/03/2019;NOCHE;COMERCIAL-002; 43,75 € ;SI;FRANCIA;PARIS;SI
COD-014;INTERNET;45;CLIENTE-008; 1.125,00 € ;PROFESOR-002; 540,00 € ;19/08/2019;TARDE;COMERCIAL-004; 56,25 € ;SI;ESPAÑA;MADRID;SI
COD-015;PROGRAMACION;18;CLIENTE-003; 1.350,00 € ;PROFESOR-001; 216,00 € ;03/09/2019;TARDE;COMERCIAL-003; 202,50 € ;SI;ITALIA;ROMA;SI
COD-016;DISEÑO;10;CLIENTE-005; 600,00 € ;PROFESOR-004; 120,00 € ;18/04/2021;TARDE;COMERCIAL-002; 72,00 € ;SI;FRANCIA;PARIS;SI
COD-017;DISEÑO;12;CLIENTE-006; 720,00 € ;PROFESOR-005; 144,00 € ;05/01/2020;TARDE;COMERCIAL-004; 86,40 € ;SI;FRANCIA;PARIS;SI
COD-018;DISEÑO;15;CLIENTE-004; 900,00 € ;PROFESOR-002; 180,00 € ;21/08/2020;NOCHE;COMERCIAL-001; 108,00 € ;SI;ESPAÑA;MADRID;NO
COD-019;ACCESS;25;CLIENTE-007; 1.000,00 € ;PROFESOR-001; 300,00 € ;27/12/2019;NOCHE;COMERCIAL-003; 100,00 € ;SI;ESPAÑA;MADRID;SI
COD-020;ACCESS;15;CLIENTE-007; 600,00 € ;PROFESOR-004; 180,00 € ;29/01/2021;NOCHE;COMERCIAL-002; 60,00 € ;SI;ESPAÑA;MADRID;SI
COD-021;ACCESS;20;CLIENTE-006; 800,00 € ;PROFESOR-003; 240,00 € ;02/05/2020;NOCHE;COMERCIAL-004; 80,00 € ;SI;FRANCIA;PARIS;SI
COD-022;ACCESS;20;CLIENTE-005; 800,00 € ;PROFESOR-002; 240,00 € ;06/04/2020;NOCHE;COMERCIAL-001; 80,00 € ;SI;FRANCIA;PARIS;SI
COD-023;EXCEL;30;CLIENTE-008; 900,00 € ;PROFESOR-001; 360,00 € ;28/08/2019;TARDE;COMERCIAL-002; 72,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-024;EXCEL;35;CLIENTE-008; 1.050,00 € ;PROFESOR-001; 420,00 € ;01/11/2019;MAÑANA;COMERCIAL-004; 84,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-025;EXCEL;40;CLIENTE-007; 1.200,00 € ;PROFESOR-004; 480,00 € ;16/03/2021;TARDE;COMERCIAL-001; 96,00 € ;SI;ESPAÑA;VALENCIA;NO
COD-026;WORD;40;CLIENTE-005; 1.000,00 € ;PROFESOR-005; 480,00 € ;24/12/2019;MAÑANA;COMERCIAL-003; 70,00 € ;NO;FRANCIA;PARIS;NO
COD-027;WORD;35;CLIENTE-003; 875,00 € ;PROFESOR-002; 420,00 € ;07/11/2020;MAÑANA;COMERCIAL-002; 61,25 € ;NO;ITALIA;ROMA;SI
COD-028;WORD;45;CLIENTE-005; 1.125,00 € ;PROFESOR-001; 540,00 € ;28/05/2019;MAÑANA;COMERCIAL-004; 78,75 € ;NO;FRANCIA;PARIS;SI
COD-029;WORD;25;CLIENTE-004; 625,00 € ;PROFESOR-004; 300,00 € ;16/02/2020;MAÑANA;COMERCIAL-003; 43,75 € ;NO;ESPAÑA;VALENCIA;NO
COD-030;EXCEL;20;CLIENTE-003; 600,00 € ;PROFESOR-003; 240,00 € ;28/10/2019;TARDE;COMERCIAL-002; 48,00 € ;SI;ITALIA;ROMA;SI
COD-031;ACCESS;10;CLIENTE-005; 400,00 € ;PROFESOR-002; 120,00 € ;20/05/2021;TARDE;COMERCIAL-004; 40,00 € ;SI;FRANCIA;MARSELLA;SI
COD-032;WORD;12;CLIENTE-003; 300,00 € ;PROFESOR-001; 144,00 € ;09/09/2021;TARDE;COMERCIAL-001; 21,00 € ;SI;ITALIA;ROMA;NO
COD-033;WORD;15;CLIENTE-004; 375,00 € ;PROFESOR-004; 180,00 € ;03/08/2021;TARDE;COMERCIAL-002; 26,25 € ;SI;ESPAÑA;VALENCIA;SI
COD-034;WORD;20;CLIENTE-003; 500,00 € ;PROFESOR-005; 240,00 € ;22/07/2020;NOCHE;COMERCIAL-004; 35,00 € ;NO;ITALIA;ROMA;SI
COD-035;EXCEL;25;CLIENTE-006; 750,00 € ;PROFESOR-002; 300,00 € ;14/11/2020;NOCHE;COMERCIAL-001; 60,00 € ;NO;FRANCIA;MARSELLA;NO
COD-036;EXCEL;30;CLIENTE-004; 900,00 € ;PROFESOR-001; 360,00 € ;08/11/2019;NOCHE;COMERCIAL-003; 72,00 € ;NO;ESPAÑA;VALENCIA;NO
COD-037;EXCEL;40;CLIENTE-007; 1.200,00 € ;PROFESOR-004; 480,00 € ;02/02/2019;TARDE;COMERCIAL-002; 96,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-038;INTERNET;35;CLIENTE-005; 875,00 € ;PROFESOR-005; 420,00 € ;27/03/2021;TARDE;COMERCIAL-004; 43,75 € ;NO;FRANCIA;PARIS;SI
COD-039;WINDOWS;45;CLIENTE-006; 1.125,00 € ;PROFESOR-002; 540,00 € ;03/08/2020;TARDE;COMERCIAL-003; 56,25 € ;SI;FRANCIA;PARIS;NO
COD-040;WINDOWS;18;CLIENTE-008; 450,00 € ;PROFESOR-001; 216,00 € ;02/06/2021;TARDE;COMERCIAL-002; 22,50 € ;SI;ESPAÑA;VALENCIA;SI
COD-041;WINDOWS;10;CLIENTE-003; 250,00 € ;PROFESOR-003; 120,00 € ;26/07/2021;NOCHE;COMERCIAL-004; 12,50 € ;SI;ITALIA;ROMA;SI
COD-042;INTERNET;12;CLIENTE-005; 300,00 € ;PROFESOR-002; 144,00 € ;22/06/2021;NOCHE;COMERCIAL-001; 15,00 € ;SI;FRANCIA;PARIS;SI
COD-043;PROGRAMACION;15;CLIENTE-006; 1.125,00 € ;PROFESOR-001; 180,00 € ;04/11/2021;NOCHE;COMERCIAL-003; 168,75 € ;SI;FRANCIA;MARSELLA;SI
